#Experiment	Perturbations	PerturbationLevels	Treatment	DeletedGenes	OverexpressedGenes	Time	Repeat
86	NA	NA	NA	G313	NA	NA	3
86	NA	NA	NA	G92	NA	NA	1
86	NA	NA	NA	G92	NA	NA	2
86	NA	NA	NA	G92	NA	NA	3
86	NA	NA	NA	G313,G92	NA	NA	1
86	NA	NA	NA	G313,G92	NA	NA	2
86	NA	NA	NA	G313,G92	NA	NA	3
86	NA	NA	NA	G235	NA	NA	1
86	NA	NA	NA	G235	NA	NA	2
86	NA	NA	NA	G235	NA	NA	3
86	NA	NA	NA	G309	NA	NA	1
86	NA	NA	NA	G309	NA	NA	2
86	NA	NA	NA	G309	NA	NA	3
86	NA	NA	NA	NA	NA	NA	1
86	NA	NA	NA	NA	NA	NA	2
86	NA	NA	NA	NA	NA	NA	3
86	NA	NA	NA	NA	NA	NA	4
87	NA	NA	NA	NA	NA	NA	1
87	NA	NA	NA	NA	NA	NA	2
87	NA	NA	NA	NA	NA	NA	3
87	NA	NA	NA	G316	NA	NA	1
87	NA	NA	NA	G316	NA	NA	2
87	NA	NA	NA	G316	NA	NA	3
88	NA	NA	NA	NA	NA	NA	1
88	NA	NA	NA	G3454	NA	NA	1
89	NA	NA	NA	NA	NA	NA	1
89	NA	NA	NA	NA	NA	NA	2
89	NA	NA	NA	NA	NA	NA	3
89	NA	NA	NA	G316	NA	NA	1
89	NA	NA	NA	G316	NA	NA	2
89	NA	NA	NA	G316	NA	NA	3
90	NA	NA	NA	NA	NA	NA	1
90	NA	NA	NA	NA	NA	NA	2
90	NA	NA	NA	G183	NA	NA	1
90	NA	NA	NA	G113	NA	NA	1
90	NA	NA	NA	G316	NA	NA	1
90	NA	NA	NA	G183,G113	NA	NA	1
90	NA	NA	NA	G183,G113	NA	NA	2
91	NA	NA	NA	NA	NA	NA	1
91	NA	NA	NA	G3153	NA	NA	1
92	NA	NA	NA	NA	NA	NA	1
92	NA	NA	NA	NA	NA	NA	2
92	NA	NA	NA	NA	NA	NA	3
92	NA	NA	NA	G2388	NA	NA	1
92	NA	NA	NA	NA	G2388	NA	1
92	NA	NA	NA	G203	G2388	NA	1
92	NA	NA	NA	G316	G2388	NA	1
93	NA	NA	NA	NA	NA	NA	1
93	NA	NA	NA	G183	NA	NA	1
93	NA	NA	NA	G113	NA	NA	1
93	NA	NA	NA	G183,G113	NA	NA	1
94	NA	NA	NA	NA	NA	NA	1
94	NA	NA	NA	NA	NA	NA	2
94	NA	NA	NA	NA	NA	NA	3
94	NA	NA	NA	G316	NA	NA	1
94	NA	NA	NA	G316	NA	NA	2
94	NA	NA	NA	G316	NA	NA	3
95	NA	NA	NA	NA	NA	NA	1
95	NA	NA	NA	G2597	NA	NA	1
96	NA	NA	NA	NA	NA	NA	1
96	NA	NA	NA	G183,G113	NA	NA	1
97	NA	NA	NA	NA	NA	8.00	1
97	NA	NA	NA	NA	NA	30.00	1
97	NA	NA	NA	NA	NA	48.00	1
97	NA	NA	NA	G3153	NA	8.00	1
97	NA	NA	NA	G3153	NA	30.00	1
97	NA	NA	NA	G3153	NA	48.00	1
98	NA	NA	NA	NA	NA	3.00	1
98	NA	NA	NA	NA	NA	3.00	2
98	NA	NA	NA	NA	NA	3.00	3
98	NA	NA	NA	NA	NA	4.50	1
98	NA	NA	NA	NA	NA	4.50	2
98	NA	NA	NA	NA	NA	11.00	1
98	NA	NA	NA	NA	NA	11.00	2
98	NA	NA	NA	NA	NA	16.00	1
98	NA	NA	NA	NA	NA	16.00	2
98	NA	NA	NA	NA	NA	24.00	1
98	NA	NA	NA	NA	NA	24.00	2
98	NA	NA	NA	G1927	NA	0.00	1
98	NA	NA	NA	G1927	NA	0.00	2
98	NA	NA	NA	G1927	NA	0.00	3
98	NA	NA	NA	G1927	NA	8.00	1
98	NA	NA	NA	G1927	NA	8.00	2
98	NA	NA	NA	G1927	NA	16.00	1
99	NA	NA	NA	NA	NA	3.00	1
99	NA	NA	NA	NA	NA	3.00	2
99	NA	NA	NA	NA	NA	3.00	3
99	NA	NA	NA	NA	NA	5.00	1
99	NA	NA	NA	NA	NA	5.00	2
99	NA	NA	NA	NA	NA	5.00	3
99	NA	NA	NA	NA	NA	8.00	1
99	NA	NA	NA	NA	NA	8.00	2
99	NA	NA	NA	NA	NA	8.00	3
99	NA	NA	NA	NA	NA	12.00	1
99	NA	NA	NA	NA	NA	12.00	2
99	NA	NA	NA	NA	NA	12.00	3
99	NA	NA	NA	G23	NA	3.00	1
99	NA	NA	NA	G23	NA	3.00	2
99	NA	NA	NA	G23	NA	3.00	3
99	NA	NA	NA	G23	NA	5.00	1
99	NA	NA	NA	G23	NA	5.00	2
99	NA	NA	NA	G23	NA	5.00	3
99	NA	NA	NA	G23	NA	8.00	1
99	NA	NA	NA	G23	NA	8.00	2
99	NA	NA	NA	G23	NA	8.00	3
99	NA	NA	NA	G23	NA	12.00	1
99	NA	NA	NA	G23	NA	12.00	2
99	NA	NA	NA	G23	NA	12.00	3
100	NA	NA	NA	NA	NA	NA	1
100	NA	NA	NA	NA	NA	NA	2
100	P8	0.10	NA	NA	NA	NA	1
100	P8	0.10	NA	NA	NA	NA	2
100	P8	0.20	NA	NA	NA	NA	1
100	P8	0.20	NA	NA	NA	NA	2
100	P8	0.30	NA	NA	NA	NA	1
100	P8	0.30	NA	NA	NA	NA	2
100	P8	0.40	NA	NA	NA	NA	1
100	P8	0.40	NA	NA	NA	NA	2
100	NA	NA	NA	G4027	NA	NA	1
100	NA	NA	NA	G4027	NA	NA	2
100	P8	0.20	NA	G4027	NA	NA	1
100	P8	0.20	NA	G4027	NA	NA	2
100	P8	0.40	NA	G4027	NA	NA	1
100	P8	0.40	NA	G4027	NA	NA	2
101	NA	NA	NA	NA	NA	NA	1
101	NA	NA	NA	NA	NA	NA	2
101	NA	NA	NA	NA	NA	NA	3
101	P32	NA	NA	NA	NA	NA	1
101	P32	NA	NA	NA	NA	NA	2
101	P32	NA	NA	NA	NA	NA	3
101	NA	NA	NA	G2360	NA	NA	1
101	NA	NA	NA	G2360	NA	NA	2
101	NA	NA	NA	G2360	NA	NA	3
101	P32	NA	NA	G2360	NA	NA	1
101	P32	NA	NA	G2360	NA	NA	2
101	P32	NA	NA	G2360	NA	NA	3
102	NA	NA	NA	NA	NA	NA	1
102	NA	NA	NA	NA	NA	NA	2
102	NA	NA	NA	NA	NA	NA	3
102	P33	NA	NA	NA	NA	NA	1
102	P33	NA	NA	NA	NA	NA	2
102	P33	NA	NA	NA	NA	NA	3
102	NA	NA	NA	G2987	NA	NA	1
102	NA	NA	NA	G2987	NA	NA	2
102	NA	NA	NA	G2987	NA	NA	3
102	P33	NA	NA	G2987	NA	NA	1
102	P33	NA	NA	G2987	NA	NA	2
102	P33	NA	NA	G2987	NA	NA	3
103	NA	NA	NA	NA	NA	NA	1
103	P34	NA	NA	G4456	NA	NA	1
103	P34	NA	NA	G2291	NA	NA	1
103	P35	NA	NA	G2291	NA	NA	1
103	P35	NA	NA	G2291	NA	NA	2
104	NA	NA	NA	NA	NA	NA	1
104	P34	NA	NA	G1891	NA	NA	1
104	P35	NA	NA	G1891	NA	NA	1
105	NA	NA	NA	NA	NA	0.00	1
105	NA	NA	NA	NA	NA	1.00	1
105	NA	NA	NA	NA	NA	2.00	1
105	NA	NA	NA	NA	NA	4.00	1
105	NA	NA	NA	NA	NA	6.00	1
105	P8	1.00	NA	NA	NA	0.00	1
105	P8	1.00	NA	NA	NA	1.00	1
105	P8	1.00	NA	NA	NA	2.00	1
105	P8	1.00	NA	NA	NA	4.00	1
105	P8	1.00	NA	NA	NA	6.00	1
105	NA	NA	NA	G4027	NA	0.00	1
105	NA	NA	NA	G4027	NA	1.00	1
105	NA	NA	NA	G4027	NA	2.00	1
105	NA	NA	NA	G4027	NA	4.00	1
105	NA	NA	NA	G4027	NA	6.00	1
105	P9	NA	NA	NA	NA	0.00	1
105	P9	NA	NA	NA	NA	1.00	1
105	P9	NA	NA	NA	NA	2.00	1
105	P9	NA	NA	NA	NA	4.00	1
105	P9	NA	NA	NA	NA	6.00	1
105	P8	1.00	NA	G4027	NA	0.00	1
105	P8	1.00	NA	G4027	NA	1.00	1
105	P8	1.00	NA	G4027	NA	2.00	1
105	P8	1.00	NA	G4027	NA	4.00	1
105	P8	1.00	NA	G4027	NA	6.00	1
105	P9	NA	NA	G4027	NA	0.00	1
105	P9	NA	NA	G4027	NA	1.00	1
105	P9	NA	NA	G4027	NA	2.00	1
105	P9	NA	NA	G4027	NA	4.00	1
105	P9	NA	NA	G4027	NA	6.00	1
106	NA	NA	NA	NA	G3522	0.00	1
106	NA	NA	NA	NA	G3522	1.00	1
106	NA	NA	NA	NA	G3522	2.00	1
106	NA	NA	NA	NA	G3522	3.00	1
106	P9	NA	NA	NA	NA	0.00	1
106	P9	NA	NA	NA	NA	0.00	2
106	P9	NA	NA	NA	NA	1.00	1
106	P9	NA	NA	NA	NA	1.00	2
106	P9	NA	NA	NA	NA	2.00	1
106	P9	NA	NA	NA	NA	2.00	2
106	P9	NA	NA	NA	NA	3.00	1
106	P9	NA	NA	NA	NA	3.00	2
107	NA	NA	NA	NA	NA	0.00	1
107	P36	NA	NA	NA	NA	0.67	1
107	P36	NA	NA	NA	NA	4.00	1
107	P37	NA	NA	NA	NA	0.67	1
107	P37	NA	NA	NA	NA	4.00	1
107	NA	NA	NA	G2388	NA	0.00	1
107	P37	NA	NA	G2388	NA	0.67	1
107	P37	NA	NA	G2388	NA	4.00	1
107	P36	NA	NA	G2388	NA	0.67	1
107	P36	NA	NA	G2388	NA	4.00	1
